#From PhysRevLett.116.041302
#log10 values
#vrel[km/s] sigmav[cm^2/g] v_error xsect_error
#dwarf
1.434 2.109 0.06779 0.4713
1.656 1.181 0.06979 0.4282
1.726 2.156 0.03695 0.3697
1.792 2.331 0.03477 0.3584
2.044 3.186 0.07675 0.3988
#LSB
1.824 1.722 0.09354 0.5019
2.001 1.695 0.09466 0.5327
2.003 2.452 0.02586 0.3217
2.021 3.152 0.06952 0.3573
2.092 2.379 0.03584 0.3585
2.097 2.027 0.03592 0.342
2.248 1.844 0.04258 0.3494
#cluster
3.086 1.872 0.05747 0.1735
3.105 1.988 0.1001 0.2854
3.092 2.341 0.0906 0.2682
3.148 2.285 0.07107 0.3634
3.197 2.246 0.0689 0.3721
3.243 2.547 0.03906 0.1881
